Bus Hound 6.01 capture on Windows Vista Service Pack 1 (x86). Complements of www.perisoft.net

108

  Device - Device ID (followed by the endpoint for USB devices)
            (24) USB2.0-MIDI
  Phase  - Phase Type
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Descr  - Description of the phase
  Cmd... - Position in the captured data


Device  Phase  Data                                                Description       Cmd.Phase.Ofs(rep)
------  -----  --------------------------------------------------  ----------------  ------------------
  24.2  OUT    1c c0 30 00                                         ..0.                     1.1.0        
  24.2  OUT    1b b0 07 43                                         ...C                     2.1.0        
  24.2  OUT    1b b0 0a 40                                         ...@                     3.1.0        
  24.2  OUT    1c c1 00 40                                         ...@                     4.1.0        
  24.2  OUT    1b b1 07 55                                         ...U                     5.1.0        
  24.2  OUT    1b b1 0a 40                                         ...@                     6.1.0        
  24.2  OUT    1c c2 49 40                                         ..I@                     7.1.0        
  24.2  OUT    1b b2 07 5a                                         ...Z                     8.1.0        
  24.2  OUT    1b b2 0a 40                                         ...@                     9.1.0        
  24.2  OUT    1c c3 18 40                                         ...@                    10.1.0        
  24.2  OUT    1b b3 07 5c                                         ...\                    11.1.0        
  24.2  OUT    1b b3 0a 40                                         ...@                    12.1.0        
  24.2  OUT    1c c4 30 40                                         ..0@                    13.1.0        
  24.2  OUT    1b b4 07 45                                         ...E                    14.1.0        
  24.2  OUT    1b b4 0a 40                                         ...@                    15.1.0        
  24.2  OUT    1c c5 34 40                                         ..4@                    16.1.0        
  24.2  OUT    1b b5 07 41                                         ...A                    17.1.0        
  24.2  OUT    1b b5 0a 40                                         ...@                    18.1.0        
  24.2  OUT    1c c6 49 40                                         ..I@                    19.1.0        
  24.2  OUT    1b b6 07 20                                         ...                     20.1.0        
  24.2  OUT    1b b6 0a 40                                         ...@                    21.1.0        
  24.2  OUT    1c c0 30 40                                         ..0@                    22.1.0        
  24.2  OUT    1b b0 07 43                                         ...C                    23.1.0        
  24.2  OUT    1b b0 0a 40                                         ...@                    24.1.0        
  24.2  OUT    1c c1 00 40                                         ...@                    25.1.0        
  24.2  OUT    1b b1 07 55                                         ...U                    26.1.0        
  24.2  OUT    1b b1 0a 40                                         ...@                    27.1.0        
  24.2  OUT    1b b1 5b 32                                         ..[2                    28.1.0(2)     
  24.2  OUT    1c c2 49 32                                         ..I2                    30.1.0        
  24.2  OUT    1b b2 07 5a                                         ...Z                    31.1.0        
  24.2  OUT    1b b2 0a 40                                         ...@                    32.1.0        
  24.2  OUT    1b b2 5b 32                                         ..[2                    33.1.0(2)     
  24.2  OUT    1c c3 18 32                                         ...2                    35.1.0        
  24.2  OUT    1b b3 07 5c                                         ...\                    36.1.0        
  24.2  OUT    1b b3 0a 40                                         ...@                    37.1.0        
  24.2  OUT    1c c4 30 40                                         ..0@                    38.1.0        
  24.2  OUT    1b b4 07 45                                         ...E                    39.1.0        
  24.2  OUT    1b b4 0a 40                                         ...@                    40.1.0        
  24.2  OUT    1c c5 34 40                                         ..4@                    41.1.0        
  24.2  OUT    1b b5 07 41                                         ...A                    42.1.0        
  24.2  OUT    1b b5 0a 40                                         ...@                    43.1.0        
  24.2  OUT    1c c6 49 40                                         ..I@                    44.1.0        
  24.2  OUT    1b b6 07 20                                         ...                     45.1.0        
  24.2  OUT    1b b6 0a 40                                         ...@                    46.1.0        
  24.2  OUT    19 90 34 71                                         ..4q                    47.1.0        
  24.2  OUT    19 91 42 7a                                         ..Bz                    48.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                    49.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                    50.1.0        
  24.2  OUT    19 90 3b 71                                         ..;q                    51.1.0        
  24.2  OUT    19 91 40 7a                                         ..@z                    52.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                    53.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                    54.1.0        
  24.2  OUT    19 90 48 7f                                         ..H.                    55.1.0        
  24.2  OUT    19 90 40 71                                         ..@q                    56.1.0        
  24.2  OUT    19 91 41 68                                         ..Ah                    57.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                    58.1.0        
  24.2  OUT    19 90 48 00                                         ..H.                    59.1.0        
  24.2  OUT    19 91 41 00                                         ..A.                    60.1.0        
  24.2  OUT    19 90 3c 75                                         ..<u                    61.1.0        
  24.2  OUT    19 91 47 68                                         ..Gh                    62.1.0        
  24.2  OUT    19 90 3c 00                                         ..<.                    63.1.0        
  24.2  OUT    19 91 47 00                                         ..G.                    64.1.0        
  24.2  OUT    19 90 3b 71                                         ..;q                    65.1.0        
  24.2  OUT    19 91 42 68                                         ..Bh                    66.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                    67.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                    68.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                    69.1.0        
  24.2  OUT    19 90 40 75                                         ..@u                    70.1.0        
  24.2  OUT    19 91 47 71                                         ..Gq                    71.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                    72.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                    73.1.0        
  24.2  OUT    19 91 47 00                                         ..G.                    74.1.0        
  24.2  OUT    19 90 3b 7f                                         ..;.                    75.1.0        
  24.2  OUT    19 91 42 57                                         ..BW                    76.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                    77.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                    78.1.0        
  24.2  OUT    19 90 34 71                                         ..4q                    79.1.0        
  24.2  OUT    19 91 40 7a                                         ..@z                    80.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                    81.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                    82.1.0        
  24.2  OUT    19 90 3b 71                                         ..;q                    83.1.0        
  24.2  OUT    19 91 40 71                                         ..@q                    84.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                    85.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                    86.1.0        
  24.2  OUT    19 90 40 71                                         ..@q                    87.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                    88.1.0        
  24.2  OUT    19 91 42 68                                         ..Bh                    89.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                    90.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                    91.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                    92.1.0        
  24.2  OUT    19 90 3b 75                                         ..;u                    93.1.0        
  24.2  OUT    19 91 47 71                                         ..Gq                    94.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                    95.1.0        
  24.2  OUT    19 91 47 00                                         ..G.                    96.1.0        
  24.2  OUT    19 90 3b 75                                         ..;u                    97.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                    98.1.0        
  24.2  OUT    19 90 40 75                                         ..@u                    99.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                   100.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                   101.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                   102.1.0        
  24.2  OUT    19 90 3b 68                                         ..;h                   103.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   104.1.0        
  24.2  OUT    19 90 34 75                                         ..4u                   105.1.0        
  24.2  OUT    19 91 40 7a                                         ..@z                   106.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   107.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   108.1.0        
  24.2  OUT    19 90 3b 71                                         ..;q                   109.1.0        
  24.2  OUT    19 91 40 75                                         ..@u                   110.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   111.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   112.1.0        
  24.2  OUT    19 90 40 75                                         ..@u                   113.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                   114.1.0        
  24.2  OUT    19 91 42 68                                         ..Bh                   115.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                   116.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                   117.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   118.1.0        
  24.2  OUT    19 90 3b 75                                         ..;u                   119.1.0        
  24.2  OUT    19 91 47 6c                                         ..Gl                   120.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   121.1.0        
  24.2  OUT    19 91 47 00                                         ..G.                   122.1.0        
  24.2  OUT    19 90 3b 7a                                         ..;z                   123.1.0        
  24.2  OUT    19 91 42 64                                         ..Bd                   124.1.0        
